date,shift,machine_id,operator_id,batch_id,input_lot_ref,units_produced,cycle_time_min,product_type,planned_units,downtime_min,downtime_reason,scrap_units,line_id,remark
2023-10-01,B,MC-09,OP-002,BATCH-2024-0041,LOT-2024-287,464,11.21,Brake Pad Type A,488.0,14.0,Material shortage,10.0,LINE-6,New mould trial
2021-06-12,B,MC-08,OP-009,BATCH-2022-0061,LOT-2023-109,557,11.008,Brake Disc,435.0,29.1,Power outage,10.0,LINE-6,Rush order
2021-06-17,C,MC-13,OP-022,BATCH-2024-0305,LOT-2024-161,562,13.112,Drum Brake Assy,,0.0,Mould repair,10.0,LINE-5,Tooling replaced mid-shift
2022-09-12,A,MC-07,OP-027,BATCH-2022-0403,LOT-2024-1935,468,10.527,Disc Brake Caliper,422.0,0.0,Operator break,,LINE-4,Rush order
2024-07-17,A,MC-01,OP-001,BATCH-2022-0336,LOT-2023-1313,441,7.482,Disc Brake Caliper,346.0,102.3,Power outage,20.0,LINE-1,Speed reduced - vibration
2022-12-06,C,MC-09,OP-024,BATCH-2024-0382,LOT-2023-1814,369,9.373,Clutch Plate,468.0,0.0,Material shortage,9.0,,New mould trial
2024-12-06,A,MC-03,OP-023,BATCH-2023-0166,LOT-2021-639,338,8.534,Drum Brake Assy,537.0,203.2,Mould repair,21.0,LINE-3,Customer priority
2023-01-27,A,MC-12,OP-013,BATCH-2022-0291,LOT-2021-402,399,11.642,Brake Pad Type A,364.0,,Power outage,16.0,LINE-3,New mould trial
2021-03-29,A,MC-13,OP-017,BATCH-2023-0356,LOT-2023-2078,371,11.733,Clutch Plate,380.0,129.8,Hydraulic issue,10.0,LINE-2,
2023-09-07,A,MC-01,OP-012,BATCH-2021-0110,LOT-2024-1456,453,10.239,Brake Disc,432.0,0.0,Quality hold,6.0,LINE-4,New mould trial
2021-06-09,C,MC-02,OP-030,BATCH-2022-0132,LOT-2022-667,365,15.39,Disc Brake Caliper,449.0,80.1,Operator break,22.0,LINE-4,
2022-07-20,C,MC-05,OP-017,BATCH-2023-0156,LOT-2021-2280,324,13.227,Brake Shoe,376.0,7.0,Power outage,10.0,LINE-6,Speed reduced - vibration
2023-01-10,C,MC-12,OP-025,BATCH-2024-0041,LOT-2022-1719,438,7.385,Brake Pad Type B,370.0,0.0,Tool change,1.0,LINE-6,Tooling replaced mid-shift
2022-06-08,C,MC-04,OP-006,BATCH-2021-0255,LOT-2021-543,437,13.051,Brake Pad Type B,460.0,0.0,Machine fault,13.0,LINE-2,New mould trial
