batch_id,inspection_date,inspector_id,product_type,pass_fail,defect_type,defect_rate_pct,rework_flag,sample_size,defects_found,measurement_tool,hold_released,customer_specific,remarks
BATCH-2023-0318,2024-01-19,QC-03,Brake Pad Type B,FAIL,Dimensional out-of-spec,5.3483,Y,123.0,23.0,Height gauge,Y,OEM-HYUNDAI,Waived by OEM
BATCH-2022-0401,2022-11-25,QC-09,Brake Pad Type A,PASS,,6.7407,N,53.0,,Hardness tester,N,OEM-MAHINDRA,Borderline - monitor next batch
BATCH-2023-0160,2024-11-16,QC-04,Brake Shoe,PASS,,8.6095,Y,30.0,0.0,Hardness tester,N,OEM-BAJAJ,Customer concession raised
BATCH-2024-0103,2024-08-12,QC-07,Brake Pad Type B,PASS,,6.1157,Y,172.0,0.0,Go/No-Go gauge,Y,OEM-HONDA,OK
BATCH-2022-0403,2024-02-22,QC-05,Brake Shoe,PASS,,8.0027,Y,,0.0,Go/No-Go gauge,Y,OEM-SUZUKI,Re-inspect after rework
BATCH-2023-0080,2024-12-20,QC-02,Brake Pad Type A,PASS,,11.3312,N,76.0,0.0,Height gauge,N,OEM-FORD,Escalated to QA Manager
BATCH-2022-0390,2024-05-30,QC-09,Brake Shoe,PASS,,2.0488,Y,135.0,0.0,CMM,Y,OEM-MARUTI,Re-inspect after rework
BATCH-2024-0159,2023-05-06,QC-06,Brake Pad Type B,PASS,,3.6974,Y,63.0,,CMM,N,OEM-HYUNDAI,Waived by OEM
BATCH-2023-0260,2022-11-16,QC-07,Brake Disc,PASS,,7.865,N,126.0,,Torque wrench,Y,OEM-MARUTI,Customer concession raised
BATCH-2023-0307,2023-07-13,QC-08,Drum Brake Assy,PASS,,8.9403,Y,133.0,0.0,Torque wrench,N,OEM-BAJAJ,Re-inspect after rework
BATCH-2021-0422,2024-08-29,QC-05,Drum Brake Assy,PASS,,10.3302,N,40.0,0.0,CMM,N,OEM-TATA,OK
BATCH-2024-0070,2022-07-24,QC-07,Wheel Hub Assy,PASS,,2.9384,Y,73.0,0.0,Vernier,Y,OEM-TVS,Customer concession raised
BATCH-2021-0073,2024-12-05,QC-08,Drum Brake Assy,PASS,,11.4653,N,133.0,0.0,Visual,Y,OEM-FORD,Escalated to QA Manager
BATCH-2023-0130,2023-05-19,QC-02,CV Joint,PASS,,0.4712,N,79.0,0.0,Vernier,Y,OEM-FORD,Re-inspect after rework
BATCH-2021-0384,2024-04-30,QC-08,Drum Brake Assy,PASS,,5.1001,N,64.0,0.0,,Y,,Customer concession raised
BATCH-2024-0397,2023-08-22,QC-01,CV Joint,PASS,,4.782,Y,36.0,0.0,Visual,Y,OEM-RENAULT,Escalated to QA Manager
BATCH-2021-0375,2023-06-29,QC-05,Drum Brake Assy,PASS,,11.2125,N,47.0,0.0,CMM,N,OEM-FORD,Escalated to QA Manager
BATCH-2022-0334,2024-04-16,QC-04,Disc Brake Caliper,PASS,,3.8123,N,68.0,0.0,,N,OEM-RENAULT,Waived by OEM
BATCH-2021-0051,2024-07-03,QC-05,Disc Brake Caliper,PASS,,8.0476,N,58.0,0.0,Visual,N,OEM-MARUTI,OK
BATCH-2022-0221,2022-10-30,QC-03,Clutch Plate,PASS,,7.3308,Y,46.0,0.0,Torque wrench,N,OEM-MAHINDRA,OK
BATCH-2021-0254,2024-05-12,QC-05,Clutch Plate,PASS,,5.2723,Y,79.0,0.0,Torque wrench,N,OEM-HONDA,OK
BATCH-2021-0069,2022-07-08,QC-06,Clutch Plate,FAIL,Edge chipping,1.3453,N,147.0,1.0,CMM,N,OEM-BAJAJ,
BATCH-2024-0120,2024-10-01,QC-03,ABS Sensor Ring,PASS,,0.5047,N,22.0,0.0,Visual,,,Waived by OEM
BATCH-2022-0395,2022-03-08,QC-04,Drum Brake Assy,PASS,,3.3325,Y,51.0,0.0,Go/No-Go gauge,Y,OEM-HYUNDAI,Escalated to QA Manager
BATCH-2024-0482,2022-12-11,QC-08,Brake Pad Type A,PASS,,9.0839,N,,0.0,,N,OEM-MAHINDRA,Waived by OEM
BATCH-2021-0368,2024-12-21,QC-09,Brake Pad Type B,PASS,,4.9405,Y,140.0,0.0,Height gauge,,,OK
BATCH-2024-0420,2023-04-27,QC-09,Brake Disc,PASS,,7.9216,Y,107.0,,CMM,N,OEM-TATA,Re-inspect after rework
BATCH-2024-0286,2022-07-01,QC-04,Drum Brake Assy,PASS,,4.1627,N,119.0,0.0,CMM,N,OEM-TATA,Borderline - monitor next batch
BATCH-2021-0379,2024-08-01,QC-09,Brake Disc,FAIL,Porosity - casting defect,8.4002,Y,78.0,25.0,Torque wrench,Y,OEM-HONDA,Customer concession raised
BATCH-2023-0040,2024-08-19,QC-07,ABS Sensor Ring,REWORK,Porosity - casting defect,6.0199,Y,,5.0,Visual,N,OEM-MARUTI,Borderline - monitor next batch
BATCH-2022-0314,2024-04-05,QC-06,Clutch Plate,PASS,,9.8738,N,186.0,0.0,Vernier,N,OEM-MARUTI,Waived by OEM
BATCH-2021-0480,2023-08-23,QC-06,Disc Brake Caliper,PASS,,4.8074,N,47.0,0.0,Height gauge,Y,,Borderline - monitor next batch
