complaint_id,oem_id,complaint_date,affected_order_ids,product_type,defect_description,units_affected,root_cause_identified,8D_submitted,resolution,financial_impact_inr,status,repeat_complaint,warranty_claim,remarks
C0001,OEM-SUZUKI,2024-03-27,D-4214,CV Joint,Noise complaint - squeal at low speed braking,38,Incorrect cure temp - night shift,No,,345016,Open,N,N,Closed with customer sign-off
C0002,OEM-HONDA,2023-01-16,"D-6855,D-5023,D-5401,D-4031",Brake Disc,Crack on brake drum casting - 6 bar air test fail,470,Chiller fault - mould temp swing,No,Process parameter locked; re-training done,320018,Closed,N,,Customer requested urgent resolution
C0003,OEM-SUZUKI,2023-09-24,"D-2763,D-2452,D-1715,D-5416",Wheel Hub Assy,Vibration at highway speeds - rotor runout > 0.05 mm,124,Resin expiry date exceeded,Pending,100% inspection implemented,341705,In Progress,Y,Y,Field visit completed
C0004,OEM-BAJAJ,2024-06-21,"D-2655,D-1630",Wheel Hub Assy,Noise complaint - squeal at low speed braking,326,Machine tool wear - spindle runout,Pending,Process parameter locked; re-training done,431662,Escalated,Y,N,Repeat issue - CAPA overdue
C0005,OEM-RENAULT,2021-12-28,"D-4004,D-1582,D-1802,D-1738",Brake Pad Type A,Friction material detached after 3000 km field use,132,Incoming lot moisture > 0.5%,Pending,Process parameter locked; re-training done,120835,Closed,N,N,Repeat issue - CAPA overdue
C0006,OEM-RENAULT,2022-06-22,"D-3795,D-4078,D-2161",Wheel Hub Assy,Crack on brake drum casting - 6 bar air test fail,497,Operator error - wrong die inserted,Pending,Rework and re-inspect,258675,In Progress,N,Y,Field visit completed
C0007,OEM-BAJAJ,2023-08-28,"D-2317,D-1085,D-2894,D-3725",Brake Pad Type A,Noise complaint - squeal at low speed braking,331,Incoming lot moisture > 0.5%,Pending,Root cause under investigation,362875,In Progress,N,N,Repeat issue - CAPA overdue
C0008,OEM-HYUNDAI,2022-09-29,"D-3483,D-4178,D-3041,D-1624",Drum Brake Assy,Friction material detached after 3000 km field use,309,Operator error - wrong die inserted,Pending,Scrap & re-order from alternate supplier,27505,Closed,Y,N,OEM issued debit note
C0009,OEM-TATA,2021-07-31,"D-2925,D-2126",Brake Shoe,Oil contamination on lining surface,100,Incoming lot moisture > 0.5%,No,Process parameter locked; re-training done,66142,Open,Y,Y,Closed with customer sign-off
C0010,OEM-HONDA,2021-04-04,"D-1908,D-1036,D-2737,D-3772",Wheel Hub Assy,Corrosion observed on disc surface - field report,259,Machine tool wear - spindle runout,Pending,100% inspection implemented,481275,Escalated,Y,Y,Repeat issue - CAPA overdue
C0011,OEM-MARUTI,2024-01-18,"D-3233,D-3817,D-5894",Wheel Hub Assy,Oil contamination on lining surface,465,Incoming lot moisture > 0.5%,Pending,Root cause under investigation,364716,Closed,Y,N,Repeat issue - CAPA overdue
C0012,OEM-BAJAJ,2021-05-13,"D-2634,D-4063,D-1955,D-2287",CV Joint,Clutch slip - insufficient torque capacity,242,Batch mix ratio deviation,Pending,Preventive maintenance completed,104750,Closed,Y,Y,Closed with customer sign-off
C0013,OEM-TVS,2021-04-26,"D-1301,D-1378",Drum Brake Assy,Vibration at highway speeds - rotor runout > 0.05 mm,431,,Yes,Process parameter locked; re-training done,72779,Closed,N,Y,Field visit completed
C0014,OEM-RENAULT,2024-07-17,"D-2018,D-3311,D-4484,D-1814",Drum Brake Assy,Oil contamination on lining surface,103,Supplier batch below spec,Yes,Full recall + replacement dispatched,384412,In Progress,Y,N,Repeat issue - CAPA overdue
C0015,OEM-TATA,2021-04-07,D-3634,Clutch Plate,Surface delamination - units rejected at incoming QC,358,Machine tool wear - spindle runout,Yes,Scrap & re-order from alternate supplier,224257,Closed,,Y,Field visit completed
C0016,OEM-FORD,2021-05-10,"D-2452,D-4476,D-3109",Brake Shoe,Noise complaint - squeal at low speed braking,415,,Pending,Process parameter locked; re-training done,470681,Closed,Y,Y,Escalated to GM QA
C0017,OEM-MAHINDRA,2021-03-09,"D-2089,D-1233,D-2730",Brake Pad Type A,Noise complaint - squeal at low speed braking,259,Supplier batch below spec,Yes,Preventive maintenance completed,384464,Escalated,N,N,OEM issued debit note
C0018,OEM-SUZUKI,2022-10-07,"D-4076,D-4399,D-1106,D-1196",Clutch Plate,ABS sensor ring missing teeth - 12 units,302,,Pending,Scrap & re-order from alternate supplier,97582,Closed,N,,Closed with customer sign-off
C0019,OEM-MARUTI,2021-06-02,"D-3109,D-2796,D-4058,D-4096",Wheel Hub Assy,Corrosion observed on disc surface - field report,27,Operator error - wrong die inserted,Pending,Scrap & re-order from alternate supplier,289978,Closed,,N,OEM issued debit note
C0020,OEM-HYUNDAI,2022-07-23,"D-1585,D-3162,D-1171",Brake Pad Type A,Dimensional out-of-spec - ID oversize by 0.12 mm,463,Coolant contamination in grinding,Pending,Scrap & re-order from alternate supplier,382352,Escalated,,N,Closed with customer sign-off
